t_hours,T_out_C,T_in_C,T_bed_avg_C
97.5,24.631555785705753,45.0,41.884767881067255
97.75,25.094258703035653,45.0,42.01863616771597
98.0,25.569909480197786,45.0,42.14930565088222
98.25,26.05741535040398,45.0,42.27669660376908
98.5,26.555610996074062,45.0,42.40073713646778
98.75,27.063268286696207,45.0,42.52136361838151
99.0,27.579106563334037,45.0,42.63852103148483
99.25,28.101803320122396,45.0,42.752163251748854
99.5,28.63000513169576,45.0,42.86225325707823
99.75,29.162338676920946,45.0,42.96876326111242
100.0,29.69742171338493,45.0,43.07167477322222
100.25,30.233873863593786,45.0,43.170978585967994
100.5,30.77032708250333,45.0,43.26667469216261
100.75,31.305435686527165,45.0,43.3587721344882
101.0,31.837885836232477,45.0,43.44728879134071
101.25,32.366404378204656,45.0,43.53225110321203
101.5,32.889766965701845,45.0,43.61369374445973
101.75,33.40680539239761,45.0,43.69165924575666
102.0,33.916414088405475,45.0,43.76619757285405
102.25,34.41755574259266,45.0,43.83736566753388
102.5,34.9092660296473,45.0,43.90522695677133
102.75,35.39065743421774,45.0,43.96985083617933
103.0,35.86092217748084,45.0,44.03131213377172
103.25,36.319334263539545,45.0,44.08969055996413
103.5,36.765250673955194,45.0,44.14507014954151
103.75,37.198111748379084,45.0,44.19753870106581
104.0,,,44.196546847136624
104.25,,,44.1955550307596
104.5,,,44.19456325193331
104.75,,,44.19357151065635
105.0,,,44.19257980692728
105.25,,,44.191588140744685
105.5,,,44.19059651210714
105.75,,,44.18960492101324
106.0,,,44.18861336746154
106.25,,,44.18762185145063
106.5,,,44.186630372979096
106.75,,,44.18563893204551
107.0,,,44.18464752864843
107.25,,,44.18365616278647
107.5,,,44.182664834458194
107.75,,,44.18167354366218
108.0,,,44.180682290397
108.25,,,44.17969107466125
108.5,,,44.178699896453494
108.75,,,44.177708755772315
109.0,,,44.1767176526163
109.25,,,44.17572658698403
109.5,,,44.174735558874055
109.75,,,44.17374456828499
110.0,,,44.17275361521539
110.25,,,44.17176269966386
110.5,,,44.170771821628946
110.75,,,44.16978098110926
111.0,,,44.16879017810337
111.25,,,44.167799412609845
111.5,,,44.16680868462728
111.75,,,44.16581799415424
112.0,,,44.16482734118932
112.25,,,44.163836725731095
112.5,,,44.16284614777813
112.75,,,44.16185560732903
113.0,,,44.16086510438235
113.25,,,44.1598746389367
113.5,,,44.15888421099063
113.75,,,44.157893820542746
114.0,,,44.1569034675916
114.25,,,44.155913152135795
114.5,,,44.154922874173906
114.75,,,44.153932633704514
115.0,,,44.15294243072619
115.25,,,44.15195226523753
115.5,,,44.1509621372371
115.75,,,44.14997204672349
116.0,,,44.14898199369528
116.25,,,44.14799197815105
116.5,,,44.14700200008938
