t_hours,T_bed_C,charge_kW,discharge_kW,loss_kW,T_supply_C
3493.75,41.30192971538896,0.0,0.0,0.6559431684134365,
3494.0,41.30104749088651,0.0,0.0,0.6559183340266516,
3494.25,41.3001652997856,0.0,0.0,0.6558935005801109,
3494.5,41.299283142084946,0.0,0.0,0.655868668073779,
3494.75,41.29840101778329,0.0,0.0,0.6558438365076199,
3495.0,41.29751892687937,0.0,0.0,0.6558190058815982,
3495.25,41.29663686937192,0.0,0.0,0.6557941761956784,
3495.5,41.29575484525968,0.0,0.0,0.6557693474498248,
3495.75,41.29487285454138,0.0,0.0,0.6557445196440019,
3496.0,41.29399089721576,0.0,0.0,0.655719692778174,
3496.25,41.29310897328155,0.0,0.0,0.6556948668523056,
3496.5,41.29222708273749,0.0,0.0,0.6556700418663611,
3496.75,41.29134522558231,0.0,0.0,0.6556452178203049,
3497.0,41.290463401814755,0.0,0.0,0.6556203947141013,
3497.25,41.289581611433555,0.0,0.0,0.6555955725477148,
3497.5,41.288699854437446,0.0,0.0,0.65557075132111,
3497.75,41.287818130825165,0.0,0.0,0.655545931034251,
3498.0,41.286936440595454,0.0,0.0,0.6555211116871024,
3498.25,41.28605478374704,0.0,0.0,0.6554962932796287,
3498.5,41.28517316027867,0.0,0.0,0.6554714758117941,
3498.75,41.28429157018906,0.0,0.0,0.6554466592835633,
3499.0,41.28341001347697,0.0,0.0,0.6554218436949004,
3499.25,41.28252849014112,0.0,0.0,0.65539702904577,
3499.5,41.28164700018025,0.0,0.0,0.6553722153361368,
3499.75,41.280765543593105,0.0,0.0,0.6553474025659646,
3500.0,41.27988412037841,0.0,0.0,0.6553225907352185,
3500.25,41.27900273053491,0.0,0.0,0.6552977798438625,
3500.5,41.27812137406134,0.0,0.0,0.6552729698918612,
3500.75,41.277240050956436,0.0,0.0,0.6552481608791789,
3501.0,41.27635876121893,0.0,0.0,0.6552233528057804,
3501.25,41.275477504847565,0.0,0.0,0.6551985456716296,
3501.5,41.27459628184107,0.0,0.0,0.6551737394766914,
3501.75,41.27371509219819,0.0,0.0,0.65514893422093,
3502.0,41.27283393591765,0.0,0.0,0.6551241299043098,
3502.25,41.2719528129982,0.0,0.0,0.6550993265267954,
3502.5,41.271071723438574,0.0,0.0,0.6550745240883511,
3502.75,41.27019066723751,0.0,0.0,0.6550497225889415,
3503.0,41.269309644393736,0.0,0.0,0.655024922028531,
3503.25,41.268428654905996,0.0,0.0,0.655000122407084,
3503.5,41.26754769877303,0.0,0.0,0.654975323724565,
3503.75,41.26666677599357,0.0,0.0,0.6549505259809384,
3504.0,41.265785886566356,0.0,0.0,0.6549257291761688,
3504.25,41.26490503049012,0.0,0.0,0.6549009333102204,
3504.5,41.264024207763605,0.0,0.0,0.6548761383830578,
3504.75,41.263143418385546,0.0,0.0,0.6548513443946454,
3505.0,41.26226266235468,0.0,0.0,0.6548265513449478,
3505.25,41.26138193966975,0.0,0.0,0.6548017592339292,
3505.5,41.26050125032948,0.0,0.0,0.6547769680615544,
3505.75,41.259620594332624,0.0,0.0,0.6547521778277877,
3506.0,41.25873997167791,0.0,0.0,0.6547273885325934,
3506.25,41.25785938236408,0.0,0.0,0.6547026001759363,
3506.5,41.25697882638987,0.0,0.0,0.6546778127577807,
3506.75,41.256098303754015,0.0,0.0,0.6546530262780909,
3507.0,41.25521781445526,0.0,0.0,0.6546282407368316,
3507.25,41.25433735849233,0.0,0.0,0.6546034561339671,
3507.5,41.25345693586397,0.0,0.0,0.654578672469462,
3507.75,41.252576546568925,0.0,0.0,0.6545538897432808,
3508.0,41.25169619060593,0.0,0.0,0.6545291079553879,
3508.25,41.250815867973714,0.0,0.0,0.6545043271057478,
3508.5,41.24993557867102,0.0,0.0,0.654479547194325,
3508.75,41.24905532269659,0.0,0.0,0.6544547682210841,
3509.0,41.24817510004916,0.0,0.0,0.6544299901859891,
3509.25,41.24729491072746,0.0,0.0,0.654405213089005,
3509.5,41.24641475473024,0.0,0.0,0.654380436930096,
3509.75,41.245534632056234,0.0,0.0,0.6543556617092265,
3510.0,41.24465454270418,0.0,0.0,0.6543308874263614,
3510.25,41.24377448667282,0.0,0.0,0.654306114081465,
3510.5,41.24289446396089,0.0,0.0,0.6542813416745016,
3510.75,41.24201447456712,0.0,0.0,0.6542565702054359,
3511.0,41.241134518490256,0.0,0.0,0.6542317996742322,
3511.25,41.24025459572904,0.0,0.0,0.654207030080855,
3511.5,41.239374706282206,0.0,0.0,0.654182261425269,
3511.75,41.23849485014849,0.0,0.0,0.6541574937074387,
3512.0,41.23761502732664,0.0,0.0,0.6541327269273283,
3512.25,41.23673523781539,0.0,0.0,0.6541079610849025,
3512.5,41.23585548161348,0.0,0.0,0.6540831961801258,
3512.75,41.23497575871964,0.0,0.0,0.6540584322129628,
3513.0,41.234096069132626,0.0,0.0,0.6540336691833778,
3513.25,41.233216412851164,0.0,0.0,0.6540089070913354,
3513.5,41.232336789874,0.0,0.0,0.6539841459368002,
3513.75,41.23145720019986,0.0,0.0,0.6539593857197366,
3514.0,41.2305776438275,0.0,0.0,0.653934626440109,
3514.25,41.22969812075565,0.0,0.0,0.6539098680978821,
3514.5,41.22881863098305,0.0,0.0,0.6538851106930202,
3514.75,41.227939174508435,0.0,0.0,0.6538603542254879,
3515.0,41.22705975133056,0.0,0.0,0.6538355986952497,
3515.25,41.226180361448144,0.0,0.0,0.6538108441022704,
